juris_id,ecozone,canfi_species,genus,species,variety,vol_min,vol_max,p_sw_low,p_sb_low,p_br_low,p_fl_low,p_sw_high,p_sb_high,p_br_high,p_fl_high
AB,10,216,PINU,MUR,NA,0.5250358107,643.08305851,0.7091114397,0.1048052881,0.0972959933,0.0887872789,0.8254939937,0.0751885839,0.0699281357,0.0293892867
AB,10,300,ABIE,SPP,NA,7.7850465269,423.80330269,0.4648997067,0.0944670605,0.2902372235,0.1503960093,0.69305212410000006,0.1041264808,0.1299263125,0.0728950826
AB,10,302,ABIE,BAL,NA,7.7850465269,423.80330269,0.4648997067,0.0944670605,0.2902372235,0.1503960093,0.69305212410000006,0.1041264808,0.1299263125,0.0728950826
AB,10,304,ABIE,LAS,NA,7.7850465269,423.80330269,0.4648997067,0.0944670605,0.2902372235,0.1503960093,0.69305212410000006,0.1041264808,0.1299263125,0.0728950826
AB,10,500,PSEU,MEN,NA,127.45404051,477.87548132,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,10,500,PSEU,MEN,MEN,127.45404051,477.87548132,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,10,500,PSEU,MEN,GLA,127.45404051,477.87548132,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,10,500,PSEU,SPP,NA,127.45404051,477.87548132,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,10,600,LARI,SPP,NA,1.6808347273,199.53544906,0.5630947078,0.1148923377,0.2179020435,0.104110911,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,10,602,LARI,LAR,NA,1.6808347273,199.53544906,0.5630947078,0.1148923377,0.2179020435,0.104110911,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,10,604,LARI,LYA,NA,1.6808347273,199.53544906,0.5630947078,0.1148923377,0.2179020435,0.104110911,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,10,1150,UNKN,SPP,NA,0.5250358107,658.35024885,0.6372984137,0.1120386886,0.1200788615,0.1305840362,0.8076745157,0.0811992483,0.0763556441,0.0347705918
AB,10,1200,POPU,SPP,NA,0.6614660513,802.89670489,0.696537797,0.205117098,0.0497082564,0.0486368485,0.7614503305,0.1200898182,0.0869329563,0.0315268951
AB,10,1201,POPU,TRE,NA,0.6614660513,802.89670489,0.696537797,0.205117098,0.0497082564,0.0486368485,0.7614503305,0.1200898182,0.0869329563,0.0315268951
AB,10,1203,POPU,BAL,NA,1.1074390007,504.07910798,0.6898017069,0.1014740848,0.0817227293,0.127001479,0.7466255151,0.103078829,0.1127402349,0.0375554211
AB,10,1203,POPU,BAL,BAL,1.1074390007,504.07910798,0.6898017069,0.1014740848,0.0817227293,0.127001479,0.7466255151,0.103078829,0.1127402349,0.0375554211
AB,10,1204,POPU,TRI,NA,1.1074390007,504.07910798,0.6898017069,0.1014740848,0.0817227293,0.127001479,0.7466255151,0.103078829,0.1127402349,0.0375554211
AB,10,1205,POPU,DEL,NA,1.1074390007,504.07910798,0.6898017069,0.1014740848,0.0817227293,0.127001479,0.7466255151,0.103078829,0.1127402349,0.0375554211
AB,10,1205,POPU,DEL,DEL,1.1074390007,504.07910798,0.6898017069,0.1014740848,0.0817227293,0.127001479,0.7466255151,0.103078829,0.1127402349,0.0375554211
AB,10,1214,POPU,AGU,NA,1.1074390007,504.07910798,0.6898017069,0.1014740848,0.0817227293,0.127001479,0.7466255151,0.103078829,0.1127402349,0.0375554211
